Game Title,DevStudio,ReleaseYear,CompletedYear,Metacritic Score,My Score
Baldur's Gate 3,Larian Studios,2023,2023,96,100
BioShock Infinite,Irrational Games,2013,2014,94,95
God of War,Santa Monica Studio,2018,2025,94,75
The Elder Scrolls V: Skyrim,Bethesda Game Studios,2011,2014,94,98
Red Dead Redemption 2,Rockstar Games,2018,2020,93,99
The Witcher 3: Wild Hunt,CD Projekt Red,2015,2016,93,88
Grand Theft Auto: San Andreas,Rockstar North,2005,2013,92,80
Journey,Thatgamecompany,2012,2018,92,85
Batman: Arkham Asylum,Rocksteady Studios,2009,2013,91,80
Batman: Arkham City,Rocksteady Studios,2011,2013,91,85
Disco Elysium,ZA/UM,2019,2024,91,95
Dota 2,Valve,2013,2015,90,95
Grand Theft Auto IV,Rockstar North,2008,2014,90,75
Rayman Legends,Ubisoft Montpellier,2013,2015,90,80
Game Dev Tycoon,Greenheart Games,2012,2014,68,80
Assassin's Creed: Brotherhood,Ubisoft Montreal,2010,2011,88,90
Devil May Cry 5,Capcom,2019,2019,88,65
Dishonored,Arkane Studios,2012,2014,88,90
Far Cry 3,Ubisoft Montreal,2012,2014,88,90
Need for Speed: The Run,EA Black Box,2011,2015,64,81
The Stanley Parable,Galactic Cafe,2013,2015,88,80
What Remains of Edith Finch,Giant Sparrow,2017,2019,88,90
Marvel's Spider-Man Remastered,Insomniac Games,2022,2023,87,92
Plants vs Zombies,PopCap Games,2009,2014,87,95
Assassin's Creed II,Ubisoft Montreal,2009,2011,86,91
Cyberpunk 2077,CD Projekt Red,2020,2023,86,92
Gone Home,The Fullbright Company,2013,2015,86,85
Resident Evil 5,Capcom,2009,2012,86,82
Rise of the Tomb Raider,Crystal Dynamics,2015,2015,86,80
Saints Row IV,Volition,2013,2015,86,90
Marvel's Spider-Man: Miles Morales,Insomniac Games,2020,2023,85,88
South Park: The Stick of Truth,Obsidian Entertainment,2014,2015,85,90
Assassin's Creed IV: Black Flag,Ubisoft Montreal,2013,2013,84,85
Crysis 2,Crytek,2011,2014,84,80
Crysis 3,Crytek UK,2013,2016,84,78
Crysis Warhead,Crytek Budapest,2008,2014,84,80
Just Cause 2,Avalanche Studios,2010,2013,84,90
Middle-earth: Shadow of Mordor,Monolith Productions,2014,2015,84,80
Spore,Maxis,2008,2014,84,87
Grand Theft Auto V,Rockstar North,2013,2015,96,90
Assassin's Creed: Odyssey,Ubisoft Quebec,2018,2019,83,70
Call of Duty: Modern Warfare Remastered,Raven Software,2016,2019,83,70
Life Is Strange,Dontnod Entertainment,2015,2016,83,85
Hitman (2016),IO Interactive,2016,2016,83,84
Need for Speed: Most Wanted (2005),EA Black Box,2005,2010,82,84
Assassin's Creed,Ubisoft Montreal,2007,2011,81,80
Battlefield V,DICE,2018,2019,81,92
Blur,Bizarre Creations,2010,2012,81,80
Firewatch,Campo Santo,2016,2019,81,89
Assassin's Creed: Origins,Ubisoft Montreal,2017,2017,81,89
Assassin's Creed III,Ubisoft Montreal,2012,2012,80,85
Assassin's Creed: Revelations,Ubisoft Montreal,2011,2011,80,94
Assassin's Creed: Valhalla,Ubisoft Montreal,2020,2022,80,68
Detroit: Become Human,Quantic Dream,2018,2023,80,90
Driver: San Francisco,Ubisoft Reflections,2011,2014,80,83
Far Cry 4,Ubisoft Montreal,2014,2015,80,83
Outlast,Red Barrels,2013,2015,80,86
Sleeping Dogs,United Front Games,2012,2014,80,90
Hitman: Absolution,IO Interactive,2012,1014,79,88
A Way Out,Hazelight Studios,2018,2019,78,70
Devil May Cry 4,Capcom,2008,2015,78,75
Far Cry 5,Ubisoft Montreal,2018,2021,78,85
Need for Speed: Most Wanted (2012),Criterion Games,2012,2013,78,75
Mafia II,2K Czech,2010,2012,77,90
Shadow of the Tomb Raider,Eidos-Montreal,2018,2018,77,75
Stick It to the Man,Zoink,2013,2015,77,80
Watch Dogs,Ubisoft Montreal,2014,2015,77,82
Prototype 2,Radical Entertainment,2012,2014,76,95
Prince of Persia: The Forgotten Sands,Ubisoft Montreal,2010,2014,75,81
Hogwarts Legacy,Avalanche Software,2023,2023,83,89
Assassin's Creed: Rogue,Ubisoft Sofia,2014,2015,74,78
Assassin's Creed: Syndicate,Ubisoft Quebec,2015,2015,74,79
Assassin's Creed: Liberation HD,Ubisoft Sofia,2014,2015,66,87
Black Myth Wukong,Game Science,2024,2024,81,85
FEAR 3,Day 1 Studios,2011,2014,74,75
Grow Home,Ubisoft Reflections,2015,2015,74,82
Alan Wake's American Nightmare,Remedy Entertainment,2012,2014,73,83
Call of Duty: WWII,Sledgehammer Games,2017,2018,73,80
Bully: Scholarship Edition,Rockstar New England,2008,2014,72,72
Grow Up,Ubisoft Reflections,2016,2016,72,80
Assassin's Creed: Freedom Cry,Ubisoft Quebec,2013,2015,70,80
Assassin's Creed: Unity,Ubisoft Montreal,2014,2015,70,80
Ballance,Cyparade,2004,2010,70,70
Batman: Arkham Knight,Rocksteady Studios,2015,2015,70,74
Clair Obscur: Expedition 33,Sandfall Interactive,2025,2025,92,95
Kingdom Come: Deliverance 2,Warhorse Studios,2025,2025,88,97
Metaphor Refantazio,ATLUS Interactive,2024,2025,94,98
Batman: Arkham Origins,WB Games Montreal,2013,2014,74,84
Dispatch,Adhoc Studios,2025,2025,89,89
Divinity Original Sin 2,Larian Studios,2017,2026,92,92
